species,day.night,depth,rest.horizontal,swim.horizontal,rest.down,rest.up,swim.down,swim.up,activity,orientation,up.down,temperature,salinity,dissolved.oxygen..ml.L.
1,d,850,0,1,0,0,0,0,1,0,NA,5.6651,34.5517,0.2458
0,d,785,0,1,0,0,0,0,1,0,NA,5.4796,34.5543,0.1846
0,d,447,1,0,0,0,0,0,0,0,NA,7.805,34.5717,0.0455
0,d,534,1,0,0,0,0,0,0,0,NA,7.18981,34.56001,0.0558
0,d,437,1,0,0,0,0,0,0,0,NA,7.8842,34.59,0.0559
0,d,663,1,0,0,0,0,0,0,0,NA,6.0733,34.5518,0.1392
0,d,725,1,0,0,0,0,0,0,0,NA,5.9447,34.555,0.1599
0,d,814,1,0,0,0,0,0,0,0,NA,5.6903,34.5436,0.2562
0,d,1010,1,0,0,0,0,0,0,0,NA,4.8895,34.5536,0.6145
1,d,565,0,0,0,0,0,1,1,1,1,6.9312,34.5592,0.0595
1,d,592,0,0,0,0,0,1,1,1,1,7.71,34.5795,0.0444
1,d,648,0,0,0,0,0,1,1,1,1,6.1993,34.5522,0.099
1,d,675,0,0,0,0,0,1,1,1,1,6.7962,34.5621,0.0701
1,d,757,0,0,0,0,0,1,1,1,1,5.7259,34.5547,0.2324
1,d,851,0,0,0,0,0,1,1,1,1,5.0443,34.5525,0.3599
1,d,856,0,0,0,0,0,1,1,1,1,5.0992,34.5563,0.5141
1,d,876,0,0,0,0,0,1,1,1,1,4.9614,34.5565,0.5964
1,d,974,0,0,0,0,0,1,1,1,1,5.0148,34.5541,0.5173
1,d,1000,0,0,0,0,0,1,1,1,1,4.3917,34.5626,0.6673
1,d,1047,0,0,0,0,0,1,1,1,1,4.22831,34.5694,0.9883
1,d,1201,0,0,0,0,0,1,1,1,1,4.0817,34.5691,1.0373
1,d,1502,0,0,0,0,0,1,1,1,1,2.9905,34.6088,1.4815
1,d,1703,0,0,0,0,0,1,1,1,1,2.6177,34.6243,1.7775
0,d,746,0,0,0,1,0,0,0,1,1,5.6841,34.5319,0.1969
1,d,1014,0,0,0,1,0,0,0,1,1,4.859,34.5529,0.6214
1,d,1560,0,0,0,1,0,0,0,1,1,2.9513,34.61509,1.57352
0,d,743,0,0,0,0,1,0,1,1,0,5.6434,34.552,0.1542
