Family,species,time_utc,time_local,day_night,depth,dive,cruise,eddy,behavior,temperature_celsius,salinity_ppt,dissolved_oxygen_ml_L,fluorescence_mgm3,turbidity_NTU,DensitySigmaT,latitude,longitude,activity,orientation
Nemichthyidae,nemichthyidae,8:32:51,0:32:51,d,767,OY38,C5e,no eddy,swim down,5.5344,34.5507,0.1823,,,27.235,11.016023,-116.134209,r,v
Serrivomeridae,serrivomeridae,7:39:25,23:39:25,n,771,OY20,C5b,eddy end,rest down,5.834,34.5424,0.2076,0.022,0.0246,27.2737,10.85679,-116.150493,r,v
Nemichthyidae,nemichthyidae,4:10:38,20:10:38,n,772,OY34,C5e,no eddy,swim down,5.4066,34.5524,0.3684,,,27.2724,10.36982,-117.17751,r,v
Nemichthyidae,nemichthyidae,9:29:46,1:29:46,d,776,OY29,C5e,no eddy,rest down,5.3975,34.5493,0.4587,0.0568,0.0319,27.2743,10.332249,-117.197999,r,v
Nemichthyidae,nemichthyidae,13:16:40,5:16:40,n,785,OY08,C5b,no eddy,rest down,5.8911,34.5519,0.1428,0.0197,0.0362,27.212,10.906014,-116.213418,r,v
Nemichthyidae,nemichthyidae,4:25:13,20:25:13,d,1114,OY32,C5e,no eddy,rest down,4.0326,34.5755,1.0432,0.0439,0.0194,27.4443,10.328735,-117.170213,r,v
Serrivomeridae,serrivomeridae,4:25:49,20:25:49,n,1124,OY36,C5e,no eddy,rest down,4.2005,34.569,0.9789,,,27.431,10.3735,-117.17053,r,v
Serrivomeridae,serrivomeridae,9:00:20,1:00:20,d,1200,OY37,C5e,no eddy,rest down,3.7425,34.5811,1.1136,,,27.3968,10.99753,-116.14156,r,v
Serrivomeridae,serrivomeridae,0:32:42,16:32:42,d,1201,OY18,C5b,eddy end,rest up,4.0817,34.5691,1.0373,0.022,0.0268,27.4348,10.334452,-117.194552,r,v
Serrivomeridae,serrivomeridae,0:32:59,16:32:59,n,1201,OY35,C5e,no eddy,rest up,3.7859,34.5838,1.1598,,,27.4778,10.336718,-117.197059,r,v
Serrivomeridae,serrivomer,23:26:30,15:26:30,n,1203,OY19,C5b,eddy end,rest up,4.0681,34.5694,1.0177,0.0188,0.0252,27.4365,10.362976,-117.17304,r,v
Serrivomeridae,serrivomeridae,17:22:20,9:22:20,n,1221,OY38,C5e,no eddy,rest down,3.5257,34.5868,1.2324,,,27.5077,11.01,-116.14678,r,v
Serrivomeridae,serrivomeridae,1:46:16,17:46:16,d,1280,OY29,C5e,no eddy,rest down,3.5875,34.5922,1.2607,0.0677,0.0249,27.505,10.332463,-117.198142,r,v
Serrivomeridae,serrivomeridae,6:57:04,22:57:04,n,1315,OY38,C5e,no eddy,rest up,3.4558,34.5885,1.2713,,,27.518,11.006907,-116.147654,r,v
Serrivomeridae,serrivomeridae,1:44:54,17:44:54,d,1502,OY39,C5e,no eddy,swim up,2.9905,34.6088,1.4815,,,27.5737,10.983262,-116.225907,r,v
Serrivomeridae,serrivomeridae,19:34:33,11:34:33,d,1560,OY33,C5e,no eddy,rest up,2.9513,34.61509,1.57352,0.0371,0.0089,27.5598,10.32446,-117.17735,r,v
Serrivomeridae,serrivomeridae,16:38:29,8:38:29,d,648,OY29,C5e,no eddy,rest up,6.1993,34.5522,0.099,0.0563,0.0176,27.1733,10.332216,-117.197985,s,v
Serrivomeridae,serrivomeridae,6:55:43,22:55:43,d,650,OY35,C5e,no eddy,rest down,6.2564,34.5552,0.1077,,,27.1684,10.315445,-117.207631,s,v
Nemichthyidae,nemichthyidae,22:36:30,14:36:30,n,657,OY35,C5e,no eddy,swim down,6.0519,34.5549,0.129,,,27.1944,10.315451,-117.200109,s,v
Nemichthyidae,nemichthyidae,1:40:51,17:40:51,d,663,OY34,C5e,no eddy,rest horizontal,6.0733,34.5518,0.1392,,,27.1883,10.37035,-117.18394,s,v
Nemichthyidae,nemichthyidae,6:38:41,22:38:41,n,665,OY19,C5b,eddy end,swim horizontal,6.925,34.562,0.0594,0.0197,0.031,27.0841,10.354228,-117.161814,s,v
