Transect,group,Euphausiidae,Sergestidae,Decapoda,Amphipoda,Myctophidae,Phosichthyidae,Gonostomatidae,Sternoptychidae,Bathylagidae,Chiroteuthidae
transect1,1,0,0,0,0,0,0,4,0,0,0
transect2,2,3,6,1,0,1,2,0,0,0,0
transect3,1,3,0,0,0,0,0,0,0,0,0
transect4,2,1,0,0,0,0,1,0,0,0,0
transect5,1,2,4,0,0,3,1,0,0,0,0
transect6,2,17,0,1,0,1,3,1,0,0,0
transect7,1,84,21,0,0,0,0,1,0,1,0
transect8,1,0,0,0,0,0,0,2,1,0,0
transect9,1,0,0,0,0,0,0,7,0,0,0
transect10,2,0,0,2,1,0,0,4,1,0,0
transect11,2,0,0,0,0,1,0,2,1,0,0
transect12,1,0,0,2,0,6,0,13,1,1,0
transect13,2,0,0,0,0,6,0,9,1,0,0
transect14,2,0,0,0,0,0,0,2,0,0,0
transect15,1,0,0,1,0,0,0,0,0,0,0
transect16,1,0,0,2,2,0,0,1,0,0,1
transect17,2,0,0,2,1,0,0,0,0,0,1
transect18,2,0,0,0,1,0,0,0,0,0,0
transect19,2,0,0,0,1,0,0,0,0,0,0
