Transect,group,Euphausiidae,Sergestidae,Decapoda,Amphipoda,Myctophidae,Phosichthyidae,Gonostomatidae,Sternoptychidae,Bathylagidae,Chiroteuthidae
transect1,1,0,0,0,0,0,0,4,0,0,0
transect2,1,3,6,1,0,1,2,0,0,0,0
transect3,1,3,0,0,0,0,0,0,0,0,0
transect4,1,1,0,0,0,0,1,0,0,0,0
transect5,1,2,4,0,0,3,1,0,0,0,0
transect6,1,17,0,1,0,1,3,1,0,0,0
transect7,1,84,21,0,0,0,0,1,0,1,0
transect8,2,0,0,0,0,0,0,2,1,0,0
transect9,2,0,0,0,0,0,0,7,0,0,0
transect10,2,0,0,2,1,0,0,4,1,0,0
transect11,2,0,0,0,0,1,0,2,1,0,0
transect12,2,0,0,2,0,6,0,13,1,1,0
transect13,2,0,0,0,0,6,0,9,1,0,0
transect14,2,0,0,0,0,0,0,2,0,0,0
transect15,2,0,0,1,0,0,0,0,0,0,0
transect16,2,0,0,2,2,0,0,1,0,0,1
transect18,2,0,0,2,1,0,0,0,0,0,1
transect19,2,0,0,0,1,0,0,0,0,0,0
transect20,2,0,0,0,1,0,0,0,0,0,0
